,District_Name,Total,risk_index
497,Equateur:Bikoro,182,0.37681159420289856
250,Mbandaka:Wangata,156,0.32298136645962733
505,Equateur:Lilanga Bobangi,73,0.15113871635610765
503,Equateur:Ingende,13,0.026915113871635612
502,Equateur:Iboko,13,0.026915113871635612
439,Tshuapa:Boende,9,0.018633540372670808
499,Equateur:Bolomba,7,0.014492753623188406
102,Kisangani:Makiso-Kisangani,6,0.012422360248447204
215,Mai-Ndombe:Kiri,6,0.012422360248447204
4,Equateur:Ntondo,5,0.010351966873706004
272,Mongala:Yamaluka,5,0.010351966873706004
496,Equateur:Basankusu,3,0.006211180124223602
379,Sud-Ubangi:Gemena,2,0.004140786749482402
3,Equateur:Motumbe,1,0.002070393374741201
95,Kikwit:Kikwit-Nord,1,0.002070393374741201
241,Masisi:Masisi,1,0.002070393374741201
